Relative Compactness,Surface Area,Wall Area,Roof Area,Overall Height,Orientation,Glazing Area,Glazing Area Distribution,Heating Load,Binary Classes,Multi-Classes
0.98,514.5,294.0,110.25,7.0,2,0.0,0,15.55,Low Level,Level 2
0.98,514.5,294.0,110.25,7.0,3,0.0,0,15.55,Low Level,Level 2
0.98,514.5,294.0,110.25,7.0,4,0.0,0,15.55,Low Level,Level 2
0.98,514.5,294.0,110.25,7.0,5,0.0,0,15.55,Low Level,Level 2
0.9,563.5,318.5,122.5,7.0,2,0.0,0,20.84,Low Level,Level 2
0.9,563.5,318.5,122.5,7.0,3,0.0,0,21.46,Low Level,Level 2
0.9,563.5,318.5,122.5,7.0,4,0.0,0,20.71,Low Level,Level 2
0.9,563.5,318.5,122.5,7.0,5,0.0,0,19.68,Low Level,Level 2
0.86,588.0,294.0,147.0,7.0,2,0.0,0,19.5,Low Level,Level 2
0.86,588.0,294.0,147.0,7.0,3,0.0,0,19.95,Low Level,Level 2
0.86,588.0,294.0,147.0,7.0,4,0.0,0,19.34,Low Level,Level 2
0.86,588.0,294.0,147.0,7.0,5,0.0,0,18.31,Low Level,Level 2
0.82,612.5,318.5,147.0,7.0,2,0.0,0,17.05,Low Level,Level 2
0.82,612.5,318.5,147.0,7.0,3,0.0,0,17.41,Low Level,Level 2
0.82,612.5,318.5,147.0,7.0,4,0.0,0,16.95,Low Level,Level 2
0.82,612.5,318.5,147.0,7.0,5,0.0,0,15.98,Low Level,Level 2
0.79,637.0,343.0,147.0,7.0,2,0.0,0,28.52,Low Level,Level 3
0.79,637.0,343.0,147.0,7.0,3,0.0,0,29.9,Low Level,Level 3
0.79,637.0,343.0,147.0,7.0,4,0.0,0,29.63,Low Level,Level 3
0.79,637.0,343.0,147.0,7.0,5,0.0,0,28.75,Low Level,Level 3
0.76,661.5,416.5,122.5,7.0,2,0.0,0,24.77,Low Level,Level 2
0.76,661.5,416.5,122.5,7.0,3,0.0,0,23.93,Low Level,Level 2
0.76,661.5,416.5,122.5,7.0,4,0.0,0,24.77,Low Level,Level 2
0.76,661.5,416.5,122.5,7.0,5,0.0,0,23.93,Low Level,Level 2
0.74,686.0,245.0,220.5,3.5,2,0.0,0,6.07,Low Level,Level 1
0.74,686.0,245.0,220.5,3.5,3,0.0,0,6.05,Low Level,Level 1
0.74,686.0,245.0,220.5,3.5,4,0.0,0,6.01,Low Level,Level 1
0.74,686.0,245.0,220.5,3.5,5,0.0,0,6.04,Low Level,Level 1
0.71,710.5,269.5,220.5,3.5,2,0.0,0,6.37,Low Level,Level 1
0.71,710.5,269.5,220.5,3.5,3,0.0,0,6.4,Low Level,Level 1
0.71,710.5,269.5,220.5,3.5,4,0.0,0,6.37,Low Level,Level 1
0.71,710.5,269.5,220.5,3.5,5,0.0,0,6.4,Low Level,Level 1
0.69,735.0,294.0,220.5,3.5,2,0.0,0,6.85,Low Level,Level 1
0.69,735.0,294.0,220.5,3.5,3,0.0,0,6.79,Low Level,Level 1
0.69,735.0,294.0,220.5,3.5,4,0.0,0,6.77,Low Level,Level 1
0.69,735.0,294.0,220.5,3.5,5,0.0,0,6.81,Low Level,Level 1
0.66,759.5,318.5,220.5,3.5,2,0.0,0,7.18,Low Level,Level 1
0.66,759.5,318.5,220.5,3.5,3,0.0,0,7.1,Low Level,Level 1
0.66,759.5,318.5,220.5,3.5,4,0.0,0,7.1,Low Level,Level 1
0.66,759.5,318.5,220.5,3.5,5,0.0,0,7.1,Low Level,Level 1
0.64,784.0,343.0,220.5,3.5,2,0.0,0,10.85,Low Level,Level 1
0.64,784.0,343.0,220.5,3.5,3,0.0,0,10.54,Low Level,Level 1
0.64,784.0,343.0,220.5,3.5,4,0.0,0,10.77,Low Level,Level 1
0.64,784.0,343.0,220.5,3.5,5,0.0,0,10.56,Low Level,Level 1
0.62,808.5,367.5,220.5,3.5,2,0.0,0,8.6,Low Level,Level 1
0.62,808.5,367.5,220.5,3.5,3,0.0,0,8.49,Low Level,Level 1
0.62,808.5,367.5,220.5,3.5,4,0.0,0,8.45,Low Level,Level 1
0.62,808.5,367.5,220.5,3.5,5,0.0,0,8.5,Low Level,Level 1
0.98,514.5,294.0,110.25,7.0,2,0.1,1,24.58,Low Level,Level 2
0.98,514.5,294.0,110.25,7.0,3,0.1,1,24.63,Low Level,Level 2
0.98,514.5,294.0,110.25,7.0,4,0.1,1,24.63,Low Level,Level 2
0.98,514.5,294.0,110.25,7.0,5,0.1,1,24.59,Low Level,Level 2
0.9,563.5,318.5,122.5,7.0,2,0.1,1,29.03,Low Level,Level 3
0.9,563.5,318.5,122.5,7.0,3,0.1,1,29.87,Low Level,Level 3
0.9,563.5,318.5,122.5,7.0,4,0.1,1,29.14,Low Level,Level 3
0.9,563.5,318.5,122.5,7.0,5,0.1,1,28.09,Low Level,Level 2
0.86,588.0,294.0,147.0,7.0,2,0.1,1,26.28,Low Level,Level 2
0.86,588.0,294.0,147.0,7.0,3,0.1,1,26.91,Low Level,Level 2
0.86,588.0,294.0,147.0,7.0,4,0.1,1,26.37,Low Level,Level 2
0.86,588.0,294.0,147.0,7.0,5,0.1,1,25.27,Low Level,Level 2
0.82,612.5,318.5,147.0,7.0,2,0.1,1,23.53,Low Level,Level 2
0.82,612.5,318.5,147.0,7.0,3,0.1,1,24.03,Low Level,Level 2
0.82,612.5,318.5,147.0,7.0,4,0.1,1,23.54,Low Level,Level 2
0.82,612.5,318.5,147.0,7.0,5,0.1,1,22.58,Low Level,Level 2
0.79,637.0,343.0,147.0,7.0,2,0.1,1,35.56,High Level,Level 4
0.79,637.0,343.0,147.0,7.0,3,0.1,1,37.12,High Level,Level 4
0.79,637.0,343.0,147.0,7.0,4,0.1,1,36.9,High Level,Level 4
0.79,637.0,343.0,147.0,7.0,5,0.1,1,35.94,High Level,Level 4
0.76,661.5,416.5,122.5,7.0,2,0.1,1,32.96,High Level,Level 3
0.76,661.5,416.5,122.5,7.0,3,0.1,1,32.12,Low Level,Level 3
0.76,661.5,416.5,122.5,7.0,4,0.1,1,32.94,High Level,Level 3
0.76,661.5,416.5,122.5,7.0,5,0.1,1,32.21,Low Level,Level 3
0.74,686.0,245.0,220.5,3.5,2,0.1,1,10.36,Low Level,Level 1
0.74,686.0,245.0,220.5,3.5,3,0.1,1,10.43,Low Level,Level 1
0.74,686.0,245.0,220.5,3.5,4,0.1,1,10.36,Low Level,Level 1
0.74,686.0,245.0,220.5,3.5,5,0.1,1,10.39,Low Level,Level 1
0.71,710.5,269.5,220.5,3.5,2,0.1,1,10.71,Low Level,Level 1
0.71,710.5,269.5,220.5,3.5,3,0.1,1,10.8,Low Level,Level 1
0.71,710.5,269.5,220.5,3.5,4,0.1,1,10.7,Low Level,Level 1
0.71,710.5,269.5,220.5,3.5,5,0.1,1,10.75,Low Level,Level 1
0.69,735.0,294.0,220.5,3.5,2,0.1,1,11.11,Low Level,Level 1
0.69,735.0,294.0,220.5,3.5,3,0.1,1,11.13,Low Level,Level 1
0.69,735.0,294.0,220.5,3.5,4,0.1,1,11.09,Low Level,Level 1
0.69,735.0,294.0,220.5,3.5,5,0.1,1,11.16,Low Level,Level 1
0.66,759.5,318.5,220.5,3.5,2,0.1,1,11.68,Low Level,Level 1
0.66,759.5,318.5,220.5,3.5,3,0.1,1,11.69,Low Level,Level 1
0.66,759.5,318.5,220.5,3.5,4,0.1,1,11.7,Low Level,Level 1
0.66,759.5,318.5,220.5,3.5,5,0.1,1,11.69,Low Level,Level 1
0.64,784.0,343.0,220.5,3.5,2,0.1,1,15.41,Low Level,Level 2
0.64,784.0,343.0,220.5,3.5,3,0.1,1,15.2,Low Level,Level 1
0.64,784.0,343.0,220.5,3.5,4,0.1,1,15.42,Low Level,Level 2
0.64,784.0,343.0,220.5,3.5,5,0.1,1,15.21,Low Level,Level 1
0.62,808.5,367.5,220.5,3.5,2,0.1,1,12.96,Low Level,Level 1
0.62,808.5,367.5,220.5,3.5,3,0.1,1,12.97,Low Level,Level 1
0.62,808.5,367.5,220.5,3.5,4,0.1,1,12.93,Low Level,Level 1
0.62,808.5,367.5,220.5,3.5,5,0.1,1,13.02,Low Level,Level 1
0.98,514.5,294.0,110.25,7.0,2,0.1,2,24.29,Low Level,Level 2
0.98,514.5,294.0,110.25,7.0,3,0.1,2,24.31,Low Level,Level 2
0.98,514.5,294.0,110.25,7.0,4,0.1,2,24.13,Low Level,Level 2
0.98,514.5,294.0,110.25,7.0,5,0.1,2,24.25,Low Level,Level 2
0.9,563.5,318.5,122.5,7.0,2,0.1,2,28.88,Low Level,Level 3
0.9,563.5,318.5,122.5,7.0,3,0.1,2,29.68,Low Level,Level 3
0.9,563.5,318.5,122.5,7.0,4,0.1,2,28.83,Low Level,Level 3
0.9,563.5,318.5,122.5,7.0,5,0.1,2,27.9,Low Level,Level 2
0.86,588.0,294.0,147.0,7.0,2,0.1,2,26.48,Low Level,Level 2
0.86,588.0,294.0,147.0,7.0,3,0.1,2,27.02,Low Level,Level 2
0.86,588.0,294.0,147.0,7.0,4,0.1,2,26.33,Low Level,Level 2
0.86,588.0,294.0,147.0,7.0,5,0.1,2,25.36,Low Level,Level 2
0.82,612.5,318.5,147.0,7.0,2,0.1,2,23.75,Low Level,Level 2
0.82,612.5,318.5,147.0,7.0,3,0.1,2,24.23,Low Level,Level 2
0.82,612.5,318.5,147.0,7.0,4,0.1,2,23.67,Low Level,Level 2
0.82,612.5,318.5,147.0,7.0,5,0.1,2,22.79,Low Level,Level 2
0.79,637.0,343.0,147.0,7.0,2,0.1,2,35.65,High Level,Level 4
0.79,637.0,343.0,147.0,7.0,3,0.1,2,37.26,High Level,Level 4
0.79,637.0,343.0,147.0,7.0,4,0.1,2,36.97,High Level,Level 4
0.79,637.0,343.0,147.0,7.0,5,0.1,2,36.03,High Level,Level 4
0.76,661.5,416.5,122.5,7.0,2,0.1,2,33.16,High Level,Level 3
0.76,661.5,416.5,122.5,7.0,3,0.1,2,32.4,Low Level,Level 3
0.76,661.5,416.5,122.5,7.0,4,0.1,2,33.12,High Level,Level 3
0.76,661.5,416.5,122.5,7.0,5,0.1,2,32.41,Low Level,Level 3
0.74,686.0,245.0,220.5,3.5,2,0.1,2,10.42,Low Level,Level 1
0.74,686.0,245.0,220.5,3.5,3,0.1,2,10.46,Low Level,Level 1
0.74,686.0,245.0,220.5,3.5,4,0.1,2,10.32,Low Level,Level 1
0.74,686.0,245.0,220.5,3.5,5,0.1,2,10.45,Low Level,Level 1
0.71,710.5,269.5,220.5,3.5,2,0.1,2,10.64,Low Level,Level 1
0.71,710.5,269.5,220.5,3.5,3,0.1,2,10.72,Low Level,Level 1
0.71,710.5,269.5,220.5,3.5,4,0.1,2,10.55,Low Level,Level 1
0.71,710.5,269.5,220.5,3.5,5,0.1,2,10.68,Low Level,Level 1
0.69,735.0,294.0,220.5,3.5,2,0.1,2,11.45,Low Level,Level 1
0.69,735.0,294.0,220.5,3.5,3,0.1,2,11.46,Low Level,Level 1
0.69,735.0,294.0,220.5,3.5,4,0.1,2,11.32,Low Level,Level 1
0.69,735.0,294.0,220.5,3.5,5,0.1,2,11.49,Low Level,Level 1
0.66,759.5,318.5,220.5,3.5,2,0.1,2,11.45,Low Level,Level 1
0.66,759.5,318.5,220.5,3.5,3,0.1,2,11.42,Low Level,Level 1
0.66,759.5,318.5,220.5,3.5,4,0.1,2,11.33,Low Level,Level 1
0.66,759.5,318.5,220.5,3.5,5,0.1,2,11.43,Low Level,Level 1
0.64,784.0,343.0,220.5,3.5,2,0.1,2,15.41,Low Level,Level 2
0.64,784.0,343.0,220.5,3.5,3,0.1,2,15.18,Low Level,Level 1
0.64,784.0,343.0,220.5,3.5,4,0.1,2,15.34,Low Level,Level 1
0.64,784.0,343.0,220.5,3.5,5,0.1,2,15.19,Low Level,Level 1
0.62,808.5,367.5,220.5,3.5,2,0.1,2,12.88,Low Level,Level 1
0.62,808.5,367.5,220.5,3.5,3,0.1,2,13.0,Low Level,Level 1
0.62,808.5,367.5,220.5,3.5,4,0.1,2,12.97,Low Level,Level 1
0.62,808.5,367.5,220.5,3.5,5,0.1,2,13.04,Low Level,Level 1
0.98,514.5,294.0,110.25,7.0,2,0.1,3,24.28,Low Level,Level 2
0.98,514.5,294.0,110.25,7.0,3,0.1,3,24.4,Low Level,Level 2
0.98,514.5,294.0,110.25,7.0,4,0.1,3,24.11,Low Level,Level 2
0.98,514.5,294.0,110.25,7.0,5,0.1,3,24.35,Low Level,Level 2
0.9,563.5,318.5,122.5,7.0,2,0.1,3,28.07,Low Level,Level 2
0.9,563.5,318.5,122.5,7.0,3,0.1,3,29.01,Low Level,Level 3
0.9,563.5,318.5,122.5,7.0,4,0.1,3,29.62,Low Level,Level 3
0.9,563.5,318.5,122.5,7.0,5,0.1,3,29.05,Low Level,Level 3
0.86,588.0,294.0,147.0,7.0,2,0.1,3,25.41,Low Level,Level 2
0.86,588.0,294.0,147.0,7.0,3,0.1,3,26.47,Low Level,Level 2
0.86,588.0,294.0,147.0,7.0,4,0.1,3,26.89,Low Level,Level 2
0.86,588.0,294.0,147.0,7.0,5,0.1,3,26.46,Low Level,Level 2
0.82,612.5,318.5,147.0,7.0,2,0.1,3,22.93,Low Level,Level 2
0.82,612.5,318.5,147.0,7.0,3,0.1,3,23.84,Low Level,Level 2
0.82,612.5,318.5,147.0,7.0,4,0.1,3,24.17,Low Level,Level 2
0.82,612.5,318.5,147.0,7.0,5,0.1,3,23.87,Low Level,Level 2
0.79,637.0,343.0,147.0,7.0,2,0.1,3,35.78,High Level,Level 4
0.79,637.0,343.0,147.0,7.0,3,0.1,3,35.48,High Level,Level 4
0.79,637.0,343.0,147.0,7.0,4,0.1,3,36.97,High Level,Level 4
0.79,637.0,343.0,147.0,7.0,5,0.1,3,36.7,High Level,Level 4
0.76,661.5,416.5,122.5,7.0,2,0.1,3,32.52,High Level,Level 3
0.76,661.5,416.5,122.5,7.0,3,0.1,3,33.28,High Level,Level 3
0.76,661.5,416.5,122.5,7.0,4,0.1,3,32.33,Low Level,Level 3
0.76,661.5,416.5,122.5,7.0,5,0.1,3,33.24,High Level,Level 3
0.74,686.0,245.0,220.5,3.5,2,0.1,3,10.39,Low Level,Level 1
0.74,686.0,245.0,220.5,3.5,3,0.1,3,10.34,Low Level,Level 1
0.74,686.0,245.0,220.5,3.5,4,0.1,3,10.35,Low Level,Level 1
0.74,686.0,245.0,220.5,3.5,5,0.1,3,10.38,Low Level,Level 1
0.71,710.5,269.5,220.5,3.5,2,0.1,3,10.77,Low Level,Level 1
0.71,710.5,269.5,220.5,3.5,3,0.1,3,10.68,Low Level,Level 1
0.71,710.5,269.5,220.5,3.5,4,0.1,3,10.68,Low Level,Level 1
0.71,710.5,269.5,220.5,3.5,5,0.1,3,10.7,Low Level,Level 1
0.69,735.0,294.0,220.5,3.5,2,0.1,3,11.22,Low Level,Level 1
0.69,735.0,294.0,220.5,3.5,3,0.1,3,11.16,Low Level,Level 1
0.69,735.0,294.0,220.5,3.5,4,0.1,3,11.1,Low Level,Level 1
0.69,735.0,294.0,220.5,3.5,5,0.1,3,11.14,Low Level,Level 1
0.66,759.5,318.5,220.5,3.5,2,0.1,3,11.59,Low Level,Level 1
0.66,759.5,318.5,220.5,3.5,3,0.1,3,11.6,Low Level,Level 1
0.66,759.5,318.5,220.5,3.5,4,0.1,3,11.53,Low Level,Level 1
0.66,759.5,318.5,220.5,3.5,5,0.1,3,11.61,Low Level,Level 1
0.64,784.0,343.0,220.5,3.5,2,0.1,3,15.16,Low Level,Level 1
0.64,784.0,343.0,220.5,3.5,3,0.1,3,15.36,Low Level,Level 1
0.64,784.0,343.0,220.5,3.5,4,0.1,3,15.12,Low Level,Level 1
0.64,784.0,343.0,220.5,3.5,5,0.1,3,15.36,Low Level,Level 1
0.62,808.5,367.5,220.5,3.5,2,0.1,3,12.68,Low Level,Level 1
0.62,808.5,367.5,220.5,3.5,3,0.1,3,12.63,Low Level,Level 1
0.62,808.5,367.5,220.5,3.5,4,0.1,3,12.71,Low Level,Level 1
0.62,808.5,367.5,220.5,3.5,5,0.1,3,12.73,Low Level,Level 1
0.98,514.5,294.0,110.25,7.0,2,0.1,4,24.38,Low Level,Level 2
0.98,514.5,294.0,110.25,7.0,3,0.1,4,24.23,Low Level,Level 2
0.98,514.5,294.0,110.25,7.0,4,0.1,4,24.04,Low Level,Level 2
0.98,514.5,294.0,110.25,7.0,5,0.1,4,24.32,Low Level,Level 2
0.9,563.5,318.5,122.5,7.0,2,0.1,4,29.06,Low Level,Level 3
0.9,563.5,318.5,122.5,7.0,3,0.1,4,28.05,Low Level,Level 2
0.9,563.5,318.5,122.5,7.0,4,0.1,4,28.86,Low Level,Level 3
0.9,563.5,318.5,122.5,7.0,5,0.1,4,29.79,Low Level,Level 3
0.86,588.0,294.0,147.0,7.0,2,0.1,4,26.44,Low Level,Level 2
0.86,588.0,294.0,147.0,7.0,3,0.1,4,25.37,Low Level,Level 2
0.86,588.0,294.0,147.0,7.0,4,0.1,4,26.33,Low Level,Level 2
0.86,588.0,294.0,147.0,7.0,5,0.1,4,27.03,Low Level,Level 2
0.82,612.5,318.5,147.0,7.0,2,0.1,4,23.8,Low Level,Level 2
0.82,612.5,318.5,147.0,7.0,3,0.1,4,22.8,Low Level,Level 2
0.82,612.5,318.5,147.0,7.0,4,0.1,4,23.59,Low Level,Level 2
0.82,612.5,318.5,147.0,7.0,5,0.1,4,24.24,Low Level,Level 2
0.79,637.0,343.0,147.0,7.0,2,0.1,4,36.86,High Level,Level 4
0.79,637.0,343.0,147.0,7.0,3,0.1,4,35.89,High Level,Level 4
0.79,637.0,343.0,147.0,7.0,4,0.1,4,35.45,High Level,Level 4
0.79,637.0,343.0,147.0,7.0,5,0.1,4,37.1,High Level,Level 4
0.76,661.5,416.5,122.5,7.0,2,0.1,4,33.08,High Level,Level 3
0.76,661.5,416.5,122.5,7.0,3,0.1,4,32.38,Low Level,Level 3
0.76,661.5,416.5,122.5,7.0,4,0.1,4,33.09,High Level,Level 3
0.76,661.5,416.5,122.5,7.0,5,0.1,4,32.31,Low Level,Level 3
0.74,686.0,245.0,220.5,3.5,2,0.1,4,10.08,Low Level,Level 1
0.74,686.0,245.0,220.5,3.5,3,0.1,4,10.15,Low Level,Level 1
0.74,686.0,245.0,220.5,3.5,4,0.1,4,10.07,Low Level,Level 1
0.74,686.0,245.0,220.5,3.5,5,0.1,4,10.14,Low Level,Level 1
0.71,710.5,269.5,220.5,3.5,2,0.1,4,10.66,Low Level,Level 1
0.71,710.5,269.5,220.5,3.5,3,0.1,4,10.68,Low Level,Level 1
0.71,710.5,269.5,220.5,3.5,4,0.1,4,10.53,Low Level,Level 1
0.71,710.5,269.5,220.5,3.5,5,0.1,4,10.72,Low Level,Level 1
0.69,735.0,294.0,220.5,3.5,2,0.1,4,11.18,Low Level,Level 1
0.69,735.0,294.0,220.5,3.5,3,0.1,4,11.22,Low Level,Level 1
0.69,735.0,294.0,220.5,3.5,4,0.1,4,11.07,Low Level,Level 1
0.69,735.0,294.0,220.5,3.5,5,0.1,4,11.2,Low Level,Level 1
0.66,759.5,318.5,220.5,3.5,2,0.1,4,11.44,Low Level,Level 1
0.66,759.5,318.5,220.5,3.5,3,0.1,4,11.42,Low Level,Level 1
0.66,759.5,318.5,220.5,3.5,4,0.1,4,11.33,Low Level,Level 1
0.66,759.5,318.5,220.5,3.5,5,0.1,4,11.43,Low Level,Level 1
0.64,784.0,343.0,220.5,3.5,2,0.1,4,15.4,Low Level,Level 1
0.64,784.0,343.0,220.5,3.5,3,0.1,4,15.19,Low Level,Level 1
0.64,784.0,343.0,220.5,3.5,4,0.1,4,15.32,Low Level,Level 1
0.64,784.0,343.0,220.5,3.5,5,0.1,4,15.16,Low Level,Level 1
0.62,808.5,367.5,220.5,3.5,2,0.1,4,12.85,Low Level,Level 1
0.62,808.5,367.5,220.5,3.5,3,0.1,4,13.04,Low Level,Level 1
0.62,808.5,367.5,220.5,3.5,4,0.1,4,13.0,Low Level,Level 1
0.62,808.5,367.5,220.5,3.5,5,0.1,4,13.0,Low Level,Level 1
0.98,514.5,294.0,110.25,7.0,2,0.1,5,24.35,Low Level,Level 2
0.98,514.5,294.0,110.25,7.0,3,0.1,5,24.33,Low Level,Level 2
0.98,514.5,294.0,110.25,7.0,4,0.1,5,24.03,Low Level,Level 2
0.98,514.5,294.0,110.25,7.0,5,0.1,5,24.26,Low Level,Level 2
0.9,563.5,318.5,122.5,7.0,2,0.1,5,29.83,Low Level,Level 3
0.9,563.5,318.5,122.5,7.0,3,0.1,5,29.08,Low Level,Level 3
0.9,563.5,318.5,122.5,7.0,4,0.1,5,28.03,Low Level,Level 2
0.9,563.5,318.5,122.5,7.0,5,0.1,5,29.02,Low Level,Level 3
0.86,588.0,294.0,147.0,7.0,2,0.1,5,27.03,Low Level,Level 2
0.86,588.0,294.0,147.0,7.0,3,0.1,5,26.45,Low Level,Level 2
0.86,588.0,294.0,147.0,7.0,4,0.1,5,25.36,Low Level,Level 2
0.86,588.0,294.0,147.0,7.0,5,0.1,5,26.45,Low Level,Level 2
0.82,612.5,318.5,147.0,7.0,2,0.1,5,24.37,Low Level,Level 2
0.82,612.5,318.5,147.0,7.0,3,0.1,5,23.89,Low Level,Level 2
0.82,612.5,318.5,147.0,7.0,4,0.1,5,22.89,Low Level,Level 2
0.82,612.5,318.5,147.0,7.0,5,0.1,5,23.86,Low Level,Level 2
